clusters,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
0,0.6628832604373757,0.4643958091451292,-13.459934711729623,0.83133537972167,0.5919727254314116,0.001844798466799205,0.4418814234592446,0.582115013916501
1,0.6294900495601061,0.6953822240577817,-7.58399427561566,0.07601217680279689,0.25586856161953975,0.050173490571285874,0.1995964635598755,0.6674297975335204
2,0.4893308439133682,0.3144025844822548,-13.06787118875215,0.056635656070396466,0.7460133966665584,0.1633825996593824,0.17913406175926225,0.41826076436016496
